Source	Target	Weight
Old_Nemo	aramateix	1
Old_Nemo	govern	1
rhinomni	RBReich	1
ForquillaBDN	Totbadalona	1
ZainulAriffn	rafiziramli	1
sarizor	gominolasdpetro	1
lunavegan	borisbarrera	1
XaviMarti5	XSalaimartin	2
Gotirb	nichcarlson	1
suruasinoiD	marctarinmarti	1
GuifrePpcc	MACanadell	1
Lajurita	boticariagarcia	1
marta_ter	EmilioMorenatti	1
AndreuCriquet	decaminoapekin	1
LLUISNARO	angeliufus	1
SpanishDan1	Pumpkinz16	1
tutmosh	brasil247	1
JavierBcn72	FincaSantaMarga	1
annetakawaii	XSalaimartin	1
emicaza	SaludPublicaEs	1
PregonerSantEst	polispol	1
irisgonzalezaf	ChicoMeteoro	1
maarinaacastroo	Rodrigotb__	1
jdc_jesu	Sayo_cab75	1
jlvndr	GillianHTurner	1
annamfabra	javihdez	1
Carrerasxavi	HectorPumo	1
JorginaMarser	IldeVrMy	1
JorginaMarser	pr_soc	1
mirovira75	jhergony	1
BiureRaich	VilaWeb	1
PAULALVAREZ5	gabrielrufian	1
ea3fo	VilaWeb	1
ea3fo	vpartal	1
funny_rodriguez	elsquissos	1
RaquelEnrich	Xlapitz	1
glorydays1973	cupnacional	1
Dolypizo	AfricaFactsZone	1
paulopezcalvet	STFUGABII_	1
atramarsi	martamuixi	1
SpanishDan1	SteveLawrence_	1
SpanishDan1	Nigel_Farage	1
nosoyayla	hensss_	1
PepmanelZagreb	luisgonzaloseg	1
emilivizu	elconfidencial	1
nnurixx	NesquikAbuser	1
marionaasanchez	juanmaromerodm	1
AlbertCanalejo	AviaMaria_	1
daxet05	microBIOblog	1
daxet05	YahooActualidad	1
EnriqueTgn	vpartal	2
inesasdias	GillianHTurner	1
torrajordi	RafaXambo	1
menchuCLD	iescolar	1
Adri2000alx	Itskarengcia	1
riavre	AntonioMyc00	1
riavre	frandevox	1
viscalhivern	emergenciescat	1
Asier_EZ	EnfrmraSaturada	1
xaviescm	IgnatiusFarray	1
ToniaMarti	gmaemejota	1
bcnFD	lemondefr	1
BufetHerrera	ElJuristaCat	1
BufetHerrera	comunicacioicab	1
BufetHerrera	ProcuradorsICPB	1
BufetHerrera	procuradorsc	1
nandocaballero	EFEnoticias	1
aniolsp	___elastiche4rt	1
xinluses	Ferran_Bel	1
lbrtlm	mejorimbecil	1
Anya_Nyr	emergenciescat	1
wassaj_	laurentzegre	1
SantTomas_	salutcat	1
pahdezb	javipalarcon	1
Acelmamelero	PortuariosBCN	1
ODionizio_	renatodartelli	1
AlacidSergi	PortuariosBCN	1
Debrak1992	antoniobanos_	1
andadarth	govern	1
fgbfrancisco	NTrastamara	1
Anoukkkii	sadbxbygirlx	1
rsemprecav	ramoncotarelo	1
IlCommentatore_	NathanDelMare	1
mjorubiomari	elnacionalcat	2
jir581	QuimTorraiPla	1
MarcCR94	QuimTorraiPla	1
sar__002	norcoreano	1
MujicaJuan	pelaolillo	1
XIAOBSIDIAN	duuhads6	1
clautronica	Jordan_Sather_	1
emeshing	McKinsey	1
Jesus_Ladevesa	Fujyno	1
jordieasy	324cat	1
baco8baco	Gargotejant	2
EduBeltranEdu	eldiarioes	1
alasuroboro	esvalero	1
MiquelSolaSuris	AlfonsCanela	1
ERoigM	marfanta	2
nelia_ntf	esdecir2	1
AlfonsGorina	movieweb	5
PepaGran	Laksmiz	1
mkasanm	WBuzzer	1
Oksana_Dnm	geertwilderspvv	2
bhargavshreyans	yaletung	2
ERONBarcelona	luisgonzaloseg	1
Supergeles	Metatron19	1
Supergeles	truetaccoo	1
Supergeles	albaverges	1
Supergeles	salutcat	1
Supergeles	ccoocatalunya	1
Supergeles	fssccoo	1
Supergeles	CCOOsanitat	1
Supergeles	ccoogirona	1
Supergeles	CCOOHMB	1
Supergeles	defensanitatBV	1
Supergeles	MareaBlancaCAT	1
brian25999	Sindicato_SATSE	1
brian25999	sanidadgob	1
Palacios_Isabel	linformatiu_tve	2
Palacios_Isabel	telediario_tve	2
Palacios_Isabel	24h_tve	2
martince007	cronicaglobal	2
aimarferg	el_pais	1
McIslamofobia	carlesplb	3
sergio_cortada	Catradioesports	1
sergio_cortada	premierleague	1
sergio_cortada	Chels	1
requenasalvador	expansion	1
Tinaveya	UBUinvestiga	1
mariavillalbaa2	Viciach_01	1
lidia_nainonai	tracy__oh	1
TSMVayne	heypaxx	1
jmiroardevol	conversesacat	1
Tortosa	terresebre	2
Sascha__95	324cat	1
Buhobizco	CapitanTruenoV	1
Dolypizo	callmenikeee	1
juntsperberga	AjuntamentBerga	1
GELA1974	emergenciescat	1
FerreresSandra	VilaWeb	1
FerreresSandra	mossos	1
Fxsoria	oscarpla_57	1
MikkiSticks	sedlr_	1
oriolpujols	canalreus	1
pol64647165	quetemuevas	1
ElCaacTusPincha	manvlagvna	1
CBTORELLO	emergenciescat	1
CBTORELLO	salutcat	1
xboixeda	JavierBlas	1
EryxVega	pnique	1
ernestrelrod74	DiariTreball	1
ernestrelrod74	MariaRecueroS	1
RaafaaBF3	sabelafd	1
marsicilia	javiernegre10	4
laurafawkes	gmaemejota	1
belenhuth	pachindsf	1
ju_valls	publico_es	1
ju_valls	JairoExtre	1
Mou_h_Art	monte_chio	1
JordiUmiliato	SeatNeon	1
irenepujadas	valemercurii	1
davidgaspar_	jsaragossa	1
MarcRoPo	tac12_tv	1
MarcRoPo	pauricoma	1
Noseque_Vero	EnfrmraSaturada	1
guelfa10	VilaWeb	2
ElFomentGirona	festivalmot	1
paula_x1345	Pablizic	1
wistfuloceans	tarjaofficial	1
B4LZAC	CINEMANIA_ES	1
serrallongaCT	Anantpeldret	1
fer140771	vell_ca	1
fer140771	Ateneu24de	1
JMalaparte	JhonnyRQuintero	1
daninafria	RevistaTrailRun	1
daninafria	motorpress_es	1
jofrefc	Oriol_Pintos	1
DarkPriincesss	paulappal	1
Rafifijlal02	ekowboy2	1
AjAmetllaValles	govern	1
chelitalmada	CrisDominguezPY	1
JuncalPujadas	boticariagarcia	1
Toni80723079	elsquissos	1
LauraMarti22	UdL_info	1
freedomcast1	AFAMediterrania	2
Alba_1985	salutcat	1
Robinthrualot	Brian_s20	1
mariado16929493	cdarwin73	1
Mei_Sheng_	Jorge_barrero_f	1
Divers_Sophia	PabloIglesias	1
bcnscience	raffiovalentina	1
aglb66	Prada_Meinhof	1
guillemalsina	hergreeneyes	1
ziggymind	debeserbbt	1
JosepLapidario	GuillermoLPD	1
castsantpedor	moixiganguers	1
inot57	jaumeclotet	1
ROSFON	LaVanguardia	1
PulidRebeca	rosamariaartal	1
JaumePinyol2	Poblelliure	1
josevonkarma	PutoMikel	1
ABecharaGhobril	Albert_Rivera	1
Icarquinyol	MailOnline	1
asmodeoentwit	LibertoPalauSer	1
AbuelaCebolleta	luisgonzaloseg	1
Feiticeira_LS	TatiNefertari	1
vxpedrosa	sabelafd	1
pjcardona14	fgonzalef	1
pjcardona14	gidauria	1
pjcardona14	GVAfisabio	1
pjcardona14	lluciinthesky	1
pjcardona14	GVAsanitat	1
Pinkukeki	StarlessCrimson	1
jovaflexyy	FonsiLoaiza	1
mayor_monica	Llibreterscat	1
elchouder	televideofm	1
ProyectoCuidar	birrabel	1
maria99ilie	BenjiGM4	1
its_snowed	lauzyfaulks	1
calopa95	salopinkman	1
OnaFontanet19	ArnauCZN	1
Siravilla	valemercurii	1
CARTELLAsesoria	solocamion	1
CARTELLAsesoria	DGTes	1
gstiscareno	ElGranApagon	1
angelot51	G_Pisarello	1
AbuelaCebolleta	G_Pisarello	1
INSJonqueres	educaciocat	1
emocionycambio	karrie_la	1
mistergarcia_	publico_es	1
AdriaEnciso	SaludPublicaEs	1
endekta	VilaWeb	1
jaumepadros	COMBarcelona	1
retrapsada	Lucasleg_ok	1
majuliabe	COMBarcelona	1
macmortwin	cochesnet	1
mfornells	govern	2
mfornells	MiquelBuch	1
MahitiAnand	ndmaindia	1
FAndurinha	upreguntas	1
CarlesBarbera	emergenciescat	1
XaviMadrona	FCF_CAT	1
Rotela_Denis	MarcoTrovatoV	1
JM_Segarra	jaumeclotet	1
esquerratgn	govern	1
york030	OJOVENE	2
cristo1976	sanidadgob	1
bengals2761	martingeddes	1
juankarlos74	Alecmolon_YT	1
ignasi_castcar	elnacionalcat	1
mikelvives	salutcat	1
DomeOrrit	mariano9605	1
Asier50	STFUGABII_	1
Fmdias	LuisCardenasMx	1
gdiaz999	estazorra	1
eduardcid	MainatJM	1
Acelmamelero	La_Lokomotora	1
artegina	emergenciescat	1
Destigmatize	Seamuskitty	2
jmarinpu	KoldoEchebarria	1
accabalquinto	DoctorYasmin	1
juanbrenner	hrbrthlgn	1
EliseErosenb827	Johnson4Dallas	1
EliseErosenb827	CityOfDallas	1
lulufloridita	OleRyborg	1
HelleKettner	exteriorscat	1
HelleKettner	salutcat	1
BlancaAtzabeja	vpartal	1
lluiscamprubi	ECDC_Outbreaks	1
dagushh	SARS_COVID19	1
Jomat02	SpainMMG	2
Jomat02	sanchezcastejon	2
Sebasandoval	ReumaVHebron	1
kanen49	ChalecosAmarill	1
PabloGenis	m_marope	1
A_RMelodY	ReadToriko	1
dreadpiratejene	mikehowardmn	1
dreadpiratejene	mnhealth	1
roserabellanet	weoncologists	1
roserabellanet	ChinaEasternweb	1
DKolimari	Ruptly	1
jakavanindo	VMRConstancio	1
sergio7castro	SimoItaliaX	1
mgimenez10	jankluytmans	1
JulaiML	RonaldKlain	1
diegobadell	KarinaVoggel	1
paucm	valemercurii	1
JonyCruz21	tarilenai	1
miguelmarcos49	Aurora_Madaula	1
collbaix63	btvnoticies	1
omar_p_b	sergipinkman	1
rojita2020	diariARA	1
jover_anna	hospitalplato	1
llumehu	juralde	1
RosannaRoyoiPla	joethebrew	1
TheSparKer_	ilucero_1	1
txell_xell	Juanmi_News	2
laiaveg	sabelafd	1
AleixisGr	govern	1
AleixisGr	QuimTorraiPla	1
ToniTorrentt	aalbeert	1
eltrodeponent	unicornioarc7	1
SansEster	luisgonzaloseg	1
dnicatala	JosepMaCalaFont	1
dnicatala	IdiazAyuso	1
dnicatala	QuimTorraiPla	1
missanemixx	BMG_Bund	1
