STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Reporter country,FLOW,Flow,PARTNER,Partner country,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,DEU,Germany,IMP,Imports,CHN,China (People's Republic of),Q,Quarterly,2023-Q1,,44476588439,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,GBR,United Kingdom,IMP,Imports,FRA,France,Q,Quarterly,2023-Q1,,9257354852,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,LVA,Latvia,IMP,Imports,ISL,Iceland,Q,Quarterly,2023-Q1,,4057160,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,DEU,Germany,EXP,Exports,HUN,Hungary,Q,Quarterly,2023-Q1,,8799997488,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,NOR,Norway,IMP,Imports,BEL,Belgium,Q,Quarterly,2023-Q1,,528146081,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,ISL,Iceland,IMP,Imports,FRA,France,Q,Quarterly,2023-Q1,,64661537,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,EST,Estonia,IMP,Imports,CAN,Canada,Q,Quarterly,2023-Q1,,6488854,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,POL,Poland,EXP,Exports,JPN,Japan,Q,Quarterly,2023-Q1,,169144964,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,POL,Poland,EXP,Exports,NOR,Norway,Q,Quarterly,2023-Q1,,828374237,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_QITS(1.0),Quarterly International Trade Statistics (by partner country),I,LVA,Latvia,EXP,Exports,IDN,Indonesia,Q,Quarterly,2023-Q1,,5002367,,A,,USD,US Dollar,0,Units,,
