ingredient_name	ingredient_category	compound_name
abies_alba	plant	bornyl_acetate
abies_alba_pine_needle	plant	maltol
abies_balsamea_oil	plant derivative	myrcene
abies_canadensis	plant	bornyl_acetate
abies_concolor	plant	bornyl_acetate
abies_sibirica	plant	bornyl_acetate
abies_sibirica	plant	camphene
abies_sibirica	plant	isoborneol
acacia	plant	(e)-2-hexenyl_hexanoate
acacia	plant	benzyl_acetate
acacia	plant	camphene
acacia	plant	eugenol
acacia	plant	isoeugenol
acacia	plant	l-arabinose
acacia	plant	methyl_benzoate
acacia_caven	plant	benzyl_alcohol
acacia_caven	plant	methyl_salicylate
acacia_dealbata	plant	heptanoic_acid
acacia_farnesiana	plant	p-cresol
acacia_farnesiana	plant	p-methoxybenzaldehyde
acacia_farnesiana_oil	plant derivative	p-methoxybenzaldehyde
acacia_flower_oil	plant derivative	eugenol
achasma_walang	plant	2-dodecenal
achillea_ageratum	plant	butyl_alcohol
achillea_ageratum	plant	butyl_anthranilate
achillea_ageratum	plant	isoamyl_alcohol
achillea_micrantha_oil	plant derivative	eucalyptol
achillea_millefolium	plant	a-pinene
aconitum_napellus	plant	aconitic_acid
agaricus	vegetable	benzyl_formate
agarwood	plant	4-(p-methoxyphenyl)-2-butanone
agastache_formosana	herb	pulegone
agastache_rugosa	herb	estragole
agathosma_gnidioides_leaf_oil	plant derivative	linalyl_isobutyrate
alcoholic_beverage	alcoholic beverage	(+/?)_2-methyl-1-butanol
algae	vegetable	d-sorbitol
algerian_geranium_oil	plant derivative	methyl_sulfide
almond	nut/seed/pulse	2,3,5-trimethylpyrazine
almond	nut/seed/pulse	5h-5-methyl-6,7-dihydrocyclopenta(b)pyrazine
almond	nut/seed/pulse	b-ionone
almond	nut/seed/pulse	l-histidine
almond	nut/seed/pulse	l-tyrosine
almond	nut/seed/pulse	methyl-2-pyrrolyl_ketone
almond	nut/seed/pulse	methyl_furoate
almond	nut/seed/pulse	methylcyclopentenolone
almond	nut/seed/pulse	phenol
almond_flower	flower	(e)-2-hexenyl_hexanoate
almond_flower	flower	1-decanol
almond_flower	flower	benzyl_acetate
almond_flower	flower	camphene
almond_flower	flower	isoeugenol
almond_flower	flower	methyl_benzoate
alpinia_malaccensis	plant	cinnamic_acid
alpinia_malaccensis	plant	methyl_cinnamate
alpinia_malaccensis_oil	plant derivative	methyl_cinnamate
alpinia_sessilis	plant	ethyl_3-phenylpropionate
ambergris_oil	plant derivative	g-ionone
ambrette	plant derivative	w-6-hexadecenlactone
ambrette_seed	plant	1-decanol
ambrette_seed	plant	farnesol
ambrette_seed	plant	furfural
ambrette_seed	plant	w-6-hexadecenlactone
ambrette_seed_oil	plant derivative	1-decanol
ambrette_seed_oil	plant derivative	w-6-hexadecenlactone
american_cranberry	fruit	1-decanol
american_cranberry	fruit	2-pentadecanone
american_cranberry	fruit	2-tridecanone
american_cranberry	fruit	benzyl_alcohol
american_cranberry	fruit	benzyl_benzoate
american_cranberry	fruit	benzyl_ethyl_ether
american_cranberry	fruit	benzyl_formate
american_cranberry	fruit	benzyl_salicylate
american_cranberry	fruit	butyl_alcohol
american_cranberry	fruit	ethyl_cinnamate
american_cranberry	fruit	n-butyric_acid
american_cranberry	fruit	undecyl_alcohol
american_pennyroyal	plant	n-butyric_acid
american_peppermint	herb	isovaleric_acid
american_peppermint	herb	menthone
american_peppermint	herb	menthyl_isovalerate
american_peppermint	herb	methyl_sulfide
american_peppermint_oil	plant derivative	menthone
american_peppermint_oil	plant derivative	menthyl_isovalerate
american_peppermint_oil	plant derivative	methyl_sulfide
american_potato_chip	vegetable	2-phenyl-2-butenal
american_potato_chip	vegetable	5-methyl-2,3-hexanedione
american_potato_chip	vegetable	propyl_mercaptan
american_sassafras_oil	plant derivative	safrole
american_storax	plant derivative	3-phenylpropyl_cinnamate
american_storax	plant derivative	cinnamic_acid
ananas_sativus	plant	2-pentanone
ananas_sativus	plant	methyl_valerate
ananas_sativus_oil	plant derivative	methyl_valerate
andropogon_gragrans	plant	menthone
andropogon_intermedius	plant	1-octanol
andropogon_jwarancusa	plant	d-piperitone
andropogon_jwarancusa	plant	octanoic_acid
angelica	herb	a-phellandrene
angelica	herb	acetaldehyde
angelica	herb	diacetyl
angelica	herb	myrcene
angelica_oil	plant derivative	a-phellandrene
angelica_oil	plant derivative	diacetyl
angelica_oil	plant derivative	myrcene
angelica_root	plant	2-methylbutyric_acid
angelica_root	plant	2-pentylfuran
angelica_root	plant	b-pinene
angelica_root	plant	bornyl_isovalerate
angelica_root	plant	cuminaldehyde
angelica_root	plant	farnesene
angelica_root	plant	isoamyl_isovalerate
angelica_root	plant	myristaldehyde
angelica_root	plant	n-octanal
angelica_root	plant	p,a,a-trimethylbenzyl_alcohol
angelica_root	plant	p-isopropylbenzyl_alcohol
angelica_root	plant	verbenol
angelica_root	plant	w-pentadecalactone
angelica_root_oil	plant derivative	2-methylbutyric_acid
angelica_root_oil	plant derivative	2-pentylfuran
angelica_root_oil	plant derivative	b-pinene
angelica_root_oil	plant derivative	bornyl_isovalerate
angelica_root_oil	plant derivative	farnesene
angelica_root_oil	plant derivative	isoamyl_isovalerate
angelica_root_oil	plant derivative	myristaldehyde
angelica_root_oil	plant derivative	n-octanal
angelica_root_oil	plant derivative	p,a,a-trimethylbenzyl_alcohol
angelica_root_oil	plant derivative	p-isopropylbenzyl_alcohol
angelica_root_oil	plant derivative	verbenol
angelica_root_oil	plant derivative	w-pentadecalactone
angelica_seed	plant	furfural
animal	animal product	d,l-valine
animal	animal product	l-glutamine
animal	animal product	sodium_acetate
animal	animal product	sodium_benzoate
animal	animal product	sodium_citrate
animal	animal product	sodium_diacetate
animal	animal product	vitamin_b1
anise	spice	4-(2,6,6-trimethyl-cyclohexa-1,3-dienyl)but-2-en-4-one
anise	spice	4-(p-methoxyphenyl)-2-butanone
anise	spice	4-carvomenthenol
anise	spice	acetanisole
anise	spice	alpha-terpineol
anise	spice	anisyl_alcohol
anise	spice	b-caryophyllene
anise	spice	b-pinene
anise	spice	benzoic_acid
anise	spice	carvone
anise	spice	d-camphor
anise	spice	estragole
anise	spice	eugenol
anise	spice	myrcene
anise	spice	p-cymene
anise	spice	p-methoxybenzaldehyde
anise	spice	trans-anethole
anise_brandy	alcoholic beverage	propyl_alcohol
anise_hyssop	herb	1-octen-3-ol
anise_hyssop	herb	1-octen-3-yl_acetate
anise_hyssop	herb	2-pentylfuran
anise_hyssop	herb	3-octanone
anise_hyssop	herb	4-(2,6,6-trimethyl-cyclohexa-1,3-dienyl)but-2-en-4-one
anise_hyssop	herb	b-pinene
anise_hyssop	herb	estragole
anise_hyssop	herb	pulegone
anise_hyssop	herb	thymol
anise_seed	spice	2-methoxy-4-methylphenol
anise_seed	spice	p-cresol
anise_seed_oil	plant derivative	p-cresol
annona_reticulata	plant	p-mentha-1,8-dien-7-ol
apple	fruit	(+/?)_2-methyl-1-butanol
apple	fruit	(+/?)_heptan-3-yl_butyrate
apple	fruit	(d-,_l-,_dl-,_meso)_tartaric_acid
apple	fruit	(e)-2-octen-1-ol
apple	fruit	1,3,5-undecatriene_(a_mixture_of_1,3(e),5(z)-_and_______________1,3(e),5(e)-isomers)
apple	fruit	1-decanol
apple	fruit	1-methylnaphthalene
apple	fruit	1-octanol
apple	fruit	2-heptanol
apple	fruit	2-hexen-1-ol
apple	fruit	2-hexen-1-yl_acetate
apple	fruit	2-hexenal
apple	fruit	2-methoxy-4-vinylphenol
apple	fruit	2-methylbutyl-2-methyl_butyrate
apple	fruit	2-methylbutyl_acetate
apple	fruit	2-methylbutyraldehyde
apple	fruit	2-methylbutyric_acid
apple	fruit	2-nonanol
apple	fruit	2-octanol
apple	fruit	2-octanone
apple	fruit	2-pentanol
apple	fruit	2-pentanone
apple	fruit	2-pentyl_acetate
apple	fruit	2-undecanol
apple	fruit	3-(methylthio)propanol
apple	fruit	3-(methylthio)propyl_acetate
apple	fruit	3-heptanone
apple	fruit	3-hexen-1-ol
apple	fruit	3-methyl-1-pentanol
apple	fruit	3-methyl-2-butanol
apple	fruit	3-methylbutyl_2-methylbutanoate
apple	fruit	3-methylbutyraldehyde
apple	fruit	3-octanol
apple	fruit	4-(2,6,6-trimethyl-cyclohexa-1,3-dienyl)but-2-en-4-one
apple	fruit	4-carvomenthenol
apple	fruit	4-heptanone
apple	fruit	4-hydroxybenzoic_acid
apple	fruit	4-methylpentanoic_acid
apple	fruit	5-_and_6-decenoic_acid
apple	fruit	5-methylfurfural
apple	fruit	6-methyl-5-hepten-2-one
apple	fruit	9,12-octadecadienoic_acid_(48%)_plus_9,12,15-octadeca-_trienoinc_acid_(52%)_(methyl_esters)
apple	fruit	acetal
apple	fruit	acetaldehyde
apple	fruit	acetic_acid
apple	fruit	acetoin
apple	fruit	acetone
apple	fruit	alpha-terpineol
apple	fruit	amyl_alcohol
apple	fruit	amyl_butyrate
apple	fruit	amyl_formate
apple	fruit	amyl_hexanoate
apple	fruit	amyl_octanoate
apple	fruit	anisole
apple	fruit	b-ionone
apple	fruit	b-pinene
apple	fruit	benzoic_acid
apple	fruit	benzyl_alcohol
apple	fruit	butyl_alcohol
apple	fruit	butyl_anthranilate
apple	fruit	butyl_butyrate
apple	fruit	butyl_formate
apple	fruit	butyl_heptanoate
apple	fruit	butyl_hexanoate
apple	fruit	butyl_isobutyrate
apple	fruit	butyl_laurate
apple	fruit	butyl_propionate
apple	fruit	butyl_stearate
apple	fruit	butyraldehyde
apple	fruit	carvyl_acetate
apple	fruit	cinnamyl_butyrate
apple	fruit	cis-3-hexen-1-yl_acetate
apple	fruit	cis-3-hexenal
apple	fruit	cis-5-octen-1-ol
apple	fruit	d,l-valine
apple	fruit	d-sorbitol
apple	fruit	decanal
apple	fruit	decanoic_acid
apple	fruit	decyl_acetate
apple	fruit	diethyl_succinate
apple	fruit	estragole
apple	fruit	ethyl_2-methylbutyrate
apple	fruit	ethyl_acetate
apple	fruit	ethyl_alcohol
apple	fruit	ethyl_benzoate
